university,program_name,program_code,degree_level,course_name,course_name_original,course_code,credits,component,semester,description,prerequisites,assessment,academic_year,source_url,language
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Քաղաքագիտության հիմունքներ,,1207,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Հանրահաշիվ - 2,,0307,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Կոմբինատոր ալգորիթմների վերլուծություն,,0307,3.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Տվյալագիտություն,,0309,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Օպտիմիզացիայի մեթոդներ,,0308,4.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Գործողությունների հետազոտում,,0307,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մաթեմատիկական ֆիզիկայի հավասարումներ,,0308,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մաթեմատիկական տրամաբանություն,,0307,3.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մեքենայական ուսուցում,,0309,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Կոմպլեքս անալիզ,,0308,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Գծային հանրահաշվի թվային մեթոդներ,,0308,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Սովորական դիֆերենցիալ հավասարումներ,,0308,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Գրաֆների տեսություն,,0307,3.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Տվյալների կառուցվածքներ,,0309,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մաթեմատիկական անալիզ-1,,0308,9.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մաթեմատիկական անալիզ - 4,,0308,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Կոմպյուտերային ցանցերի ներածություն,,0309,3.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Ալգորիթմների տեսություն,,0307,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Հանրահաշիվ - 1,,0307,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մաթեմատիկական անալիզ - 3,,0308,9.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Web ծրագրավորում,,0309,3.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Ծրագրավորում - 2,,0309,9.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Դիսկրետ մաթեմատիկա - 2,,0307,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մաթեմատիկական անալիզ - 2,,0308,9.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Հանրահաշիվ և վերլուծական երկրաչափություն,,0307,3.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Ծրագրավորում-1,,0309,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Դիսկրետ մաթեմատիկա - 1,,0307,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Թարգմանության տեսություն,,0309,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,GUI ծրագրավորում,,0309,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Կոմբինատոր ալգորիթմներ,,0307,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Գրաֆային ալգորիթմներ,,0307,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Ֆունկցիոնալ անալիզ,,0308,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Դիֆերենցիալ հավասարումների որակական տեսություն,,0308,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Տվյալների հենքեր,,0309,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,ԷՀՄ ճարտարապետություն և ասեմբլեր լեզու,,0309,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Գործողությունների հետազոտման լրացուցիչ գլուխներ,,0307,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մաթեմատիկական կիբեռնետիկայի տարրեր,,0307,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մասնագիտական պրակտիկա,,0000,3.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Թվային անալիզ,,0308,6.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մաթեմատիկական մեթոդներ բնագիտության մեջ,,0308,4.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Անգլերեն-1,,1602,3.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Ռուսերեն -1,,1702,3.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Գերմաներեն -1,,1604,3.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Ֆրանսերեն -1,,1608,3.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Անգլերեն -2,,1602,3.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Ռուսերեն-2,,1702,3.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Գերմաներեն -2,,1604,3.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Ֆրանսերեն -2,,1608,3.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Տեղեկատվական տեխնոլոգիաները մասնագիտական ոլորտում-1,,0309,3.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Հետազոտության պլանավորում և մեթոդներ,,0307,3.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
Yerevan State University,Discrete Mathematics and Theoretical Informatics,061101.04.7,Master,Մասնագիտության արդի հիմնախնդիրները,,0307,3.0,Professional,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Armenian
