method,university,program_name,degree_level,role_groups,gap_concept
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/ad05c2bf-3905-4e4c-bd56-6fcfdebc994c
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/74aa45cf-175f-47ef-9978-d9de437d92ba
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/7fb699d9-182a-430e-b7a0-6d8ed05c284b
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/bacbfc27-4b5d-47de-8bfd-af5fa27562a2
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/a1816dfd-dbdc-4499-bef3-ff81dd895b33
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/5c003e77-867f-4213-b7e9-0a4671362646
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/11e2378a-ccc0-45a5-993c-23eb65f9e1ce
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/626326d5-1cee-4729-9381-3debc87ddac4
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/c73ea1b8-e121-4f91-b8f0-dee4ee28d6ec
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/4ce09e3d-ca6b-424a-a328-7f551db75e59
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/5acf6408-e084-4202-9442-ffcf0119811c
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/f263da7f-0708-42c2-b1a9-39083416f632
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/55514865-3066-4abd-86a9-dbe45a440882
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/d5111703-c344-484d-bef1-9565a278166a
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/49812c2d-3a36-4be8-bd41-8c0be3db7c6d
