source_url,degree_type,speciality,program_name,academic_year,component,chair_code,course_name_original,credits
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1311,Տրամաբանության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1207,Քաղաքագիտության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Հանրահաշիվ - 2,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Կոմբինատոր ալգորիթմների վերլուծություն,3
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,Տվյալագիտություն,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Օպտիմիզացիայի մեթոդներ,4
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Գործողությունների հետազոտում,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Մաթեմատիկական ֆիզիկայի հավասարումներ,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Մաթեմատիկական տրամաբանություն,3
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,Մեքենայական ուսուցում,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Կոմպլեքս անալիզ,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Գծային հանրահաշվի թվային մեթոդներ,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Սովորական դիֆերենցիալ հավասարումներ,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Գրաֆների տեսություն,3
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,Տվյալների կառուցվածքներ,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Մաթեմատիկական անալիզ-1,9
